Filename,Characters,Words,Sentences,Average Word Length,Average Sentence Length
Alice_in_Wonderland.txt,163340,30576,1053,4.038396127681842,29.037037037037038
pride_and_Prejudice.txt,748132,131867,5768,4.39693782371632,22.861823855755894
Sherlock_Holmes.txt,592499,111249,5287,4.095623331445676,21.041989786268203
